Date,Open,High,Low,Close,Volume
04-Dec-20,92.58,94.58,90.63,94.04,"45,570,273"
07-Dec-20,94.95,95,92.97,94.07,"39,815,654"
08-Dec-20,94.05,94.74,91.9,92.92,"33,907,510"
09-Dec-20,92.76,94.7,89.16,89.83,"52,170,379"
10-Dec-20,89.55,92.09,89.03,91.66,"33,804,412"
11-Dec-20,91.54,92.33,90.16,91.65,"28,368,145"
14-Dec-20,92.21,95.41,91.85,94.78,"48,026,426"
15-Dec-20,95.93,97.98,95.45,97.12,"57,305,100"
16-Dec-20,97.04,97.27,95.46,96.85,"34,909,037"
17-Dec-20,97.55,97.92,96.25,96.84,"32,023,734"
18-Dec-20,97.27,97.68,93.56,95.92,"51,823,103"
21-Dec-20,94.25,95.28,91.08,93.23,"47,093,891"
22-Dec-20,93.36,93.55,90.53,93.16,"35,717,836"
23-Dec-20,93.08,93.13,91.46,91.55,"25,993,348"
24-Dec-20,91.8,92.51,91.31,91.81,"16,705,909"
28-Dec-20,92.93,93.14,90.82,91.6,"30,627,297"
29-Dec-20,91.66,92.46,89.43,90.62,"31,748,211"
30-Dec-20,90.78,92.85,90.19,92.29,"25,844,973"
31-Dec-20,92.1,92.3,90.87,91.71,"24,930,684"
04-Jan-21,92.11,96.06,90.92,92.3,"51,802,552"
05-Jan-21,92.1,93.21,91.41,92.77,"34,207,989"
06-Jan-21,91.62,92.28,89.46,90.33,"51,911,657"
07-Jan-21,91.33,95.51,91.2,95.16,"42,897,157"
08-Jan-21,95.98,96.4,93.27,94.58,"39,816,400"
11-Jan-21,94.03,99.23,93.76,97.25,"48,669,103"
12-Jan-21,97.86,98.97,94.07,95.36,"67,672,311"
13-Jan-21,93.01,93.89,90.84,91.78,"60,712,896"
14-Jan-21,91.77,92.36,90.45,90.79,"53,408,241"
15-Jan-21,90.75,91.59,87.86,88.21,"49,340,338"
19-Jan-21,89.56,89.58,87.24,89.45,"45,115,055"
20-Jan-21,90.55,90.78,88.6,88.75,"35,185,810"
21-Jan-21,89.34,92.07,88.43,91.53,"54,596,079"
22-Jan-21,94.42,95.95,91.88,92.79,"71,294,707"
25-Jan-21,94.14,95.74,91.4,94.13,"55,086,943"
26-Jan-21,94.91,95.72,93.63,94.71,"59,449,053"
27-Jan-21,91.1,91.88,86.22,88.84,"73,341,193"
28-Jan-21,89.83,89.88,87.3,87.52,"47,048,362"
29-Jan-21,87.56,88.33,85.02,85.64,"56,735,828"
01-Feb-21,86.83,87.95,84.66,87.66,"42,359,344"
02-Feb-21,88.49,89.28,86.95,88.86,"33,850,049"
03-Feb-21,88.6,89.48,87.34,87.89,"32,312,885"
04-Feb-21,88.22,88.6,87.06,87.84,"30,791,641"
05-Feb-21,88.15,88.36,86.88,87.9,"30,268,677"
08-Feb-21,88.31,91.99,87.98,91.47,"47,639,887"
09-Feb-21,91.39,93.3,90.55,90.91,"37,596,446"
10-Feb-21,91.5,93.27,90.46,92.35,"42,441,300"
11-Feb-21,92.9,93.65,91.33,92.66,"35,571,025"
12-Feb-21,92.75,94.22,91.9,93.77,"38,538,353"
16-Feb-21,93.9,94,90.75,91.46,"35,105,917"
17-Feb-21,90.56,90.96,88.57,89.94,"32,284,075"
18-Feb-21,89.09,89.6,87.31,88.64,"35,624,948"
19-Feb-21,89.75,90.42,88.69,89.58,"29,548,273"
22-Feb-21,88.15,88.3,85.21,85.37,"36,930,182"
23-Feb-21,83.4,85.11,79.36,84.74,"49,720,914"
24-Feb-21,84.33,87.09,82.81,86.94,"40,821,150"
25-Feb-21,86.17,87.09,81.92,82.42,"54,625,140"
26-Feb-21,83.57,85.59,82.91,84.51,"48,962,907"
01-Mar-21,85.37,86.5,83.97,86.39,"32,746,181"
02-Mar-21,86.92,86.95,84.04,84.13,"34,828,157"
03-Mar-21,84.28,84.38,80.85,80.86,"43,541,041"
04-Mar-21,80.23,81.81,76.78,77.75,"60,549,371"
05-Mar-21,79,79.48,74.2,78.52,"58,548,912"
08-Mar-21,78.03,79,73.86,73.96,"54,563,874"
09-Mar-21,76.73,79.22,75.77,78.53,"45,088,336"
10-Mar-21,79.75,80.04,77.41,77.52,"45,416,616"
11-Mar-21,79.4,81.89,79.37,81.23,"43,583,719"
12-Mar-21,79.73,81.19,79.23,81.05,"32,937,950"
15-Mar-21,81.91,83.39,81.2,82.5,"39,365,424"
16-Mar-21,83.66,84.75,82.26,82.75,"42,971,552"
17-Mar-21,81.75,83.25,80.41,82.63,"43,320,573"
18-Mar-21,81.06,81.62,78.01,78.12,"51,036,502"
19-Mar-21,78.49,79.34,77.59,79.06,"42,283,391"
22-Mar-21,79.99,81.27,79.22,80.3,"39,648,614"
23-Mar-21,80.13,80.34,77.95,78.38,"40,466,635"
24-Mar-21,77.55,78.8,76.4,76.48,"43,753,642"
25-Mar-21,75.85,76.95,74.96,76.22,"44,735,103"
26-Mar-21,76.62,77.5,75.03,77.41,"49,148,659"
29-Mar-21,77.03,78.02,76.26,77.14,"37,144,298"
30-Mar-21,76.47,76.56,74.85,76,"39,169,250"
31-Mar-21,76.57,79.13,76.52,78.5,"43,659,455"
01-Apr-21,80.16,81.31,79.48,81.09,"40,182,380"
05-Apr-21,81.74,81.9,80.39,81.43,"32,610,554"
06-Apr-21,81.21,82.46,80.88,81.44,"29,327,948"
07-Apr-21,81.32,83.1,80.35,82.2,"35,590,925"
08-Apr-21,83.32,83.79,82.44,83.35,"41,925,284"
09-Apr-21,82.8,83.59,82.16,82.76,"32,759,867"
12-Apr-21,82.06,82.18,78.03,78.58,"62,098,804"
13-Apr-21,79.67,80.72,78.98,80.19,"37,767,257"
14-Apr-21,79.88,80.13,77.94,78.55,"34,263,832"
15-Apr-21,80.32,83.95,79.97,83.01,"68,942,819"
16-Apr-21,83.3,83.59,81.53,82.15,"47,280,570"
19-Apr-21,82.13,83.18,80.39,81.11,"39,115,461"
20-Apr-21,80.82,81.11,78.51,79.27,"34,977,750"
21-Apr-21,78.99,81.66,78.86,81.61,"35,068,955"
22-Apr-21,81.61,81.79,78.59,79.06,"38,846,050"
23-Apr-21,80.21,83.3,79.96,82.76,"49,267,281"
26-Apr-21,83.35,85.9,82.7,85.41,"57,594,535"
27-Apr-21,85.67,87.15,85.13,85.21,"61,909,865"
28-Apr-21,88.85,89.2,83.92,84.02,"108,920,306"
29-Apr-21,84.7,85.27,82.63,83.91,"51,294,528"
30-Apr-21,82.97,84.1,81.42,81.62,"46,601,858"
03-May-21,81.97,82,78.46,78.55,"66,323,268"
04-May-21,77.95,78.67,77.04,78.61,"59,194,328"
05-May-21,79.05,79.3,77.36,77.83,"42,310,154"
06-May-21,77.63,78.06,76.47,77.89,"38,661,325"
07-May-21,78.75,79.57,78.22,78.81,"36,954,179"
10-May-21,78.2,78.3,75.92,75.99,"45,134,490"
11-May-21,73.57,76.93,72.75,76.83,"51,008,239"
12-May-21,75.09,76.13,74.16,74.64,"42,531,423"
13-May-21,75.21,75.7,72.5,73.09,"48,646,754"
14-May-21,74.02,75.03,72.72,74.59,"38,355,787"
17-May-21,74.22,75.52,73.41,74.65,"40,779,244"
18-May-21,74.74,75.77,74.24,74.44,"31,982,482"
19-May-21,73.16,76.97,72.76,76.23,"73,966,162"
20-May-21,76.81,78.27,76.25,78.06,"49,135,012"
21-May-21,78.55,78.81,77.04,77.17,"40,201,088"
24-May-21,77.26,78.01,76.8,77.44,"33,194,287"
25-May-21,77.33,78.77,76.84,77.86,"47,353,101"
26-May-21,77.83,78.59,77.59,78.34,"30,353,997"
27-May-21,78.11,78.43,77.47,78.42,"35,883,219"
28-May-21,78.66,81.09,78.66,80.08,"40,952,663"
01-Jun-21,81.01,82.91,80.66,80.81,"43,433,042"
02-Jun-21,81,82.6,80.66,81.97,"35,203,224"
03-Jun-21,81.13,81.89,80.26,80.28,"29,811,969"
04-Jun-21,80.92,82.19,80.81,81.58,"26,387,799"
07-Jun-21,81.4,81.68,80.38,81.35,"29,006,782"
08-Jun-21,81.87,82.65,80.45,80.89,"26,956,625"
09-Jun-21,81.09,81.68,79.8,79.96,"28,454,646"
10-Jun-21,80.02,81.71,79.7,81.56,"28,606,356"
11-Jun-21,81.61,82.33,80.7,81.31,"24,310,894"
14-Jun-21,81.51,81.55,80.2,81.55,"27,830,243"
15-Jun-21,81.59,81.68,80.22,80.47,"26,194,342"
16-Jun-21,80.75,81.45,78.96,80.11,"29,598,309"
17-Jun-21,80.77,85.37,80.57,84.56,"77,822,823"
18-Jun-21,84.28,85.77,83.48,84.65,"58,736,805"
21-Jun-21,83.49,84.19,82.21,82.59,"44,417,112"
22-Jun-21,82.9,84.04,82.48,83.58,"32,107,700"
23-Jun-21,83.83,84.49,83.16,83.82,"25,992,435"
24-Jun-21,84.39,87.14,84.37,86.1,"42,217,665"
25-Jun-21,86.34,86.36,85.1,85.62,"27,804,535"
28-Jun-21,86.38,88,86.15,87.08,"30,262,042"
29-Jun-21,87.41,90.3,86.66,89.52,"46,181,000"
30-Jun-21,90.82,94.34,90.6,93.93,"70,721,525"
01-Jul-21,94.04,94.18,91.7,93.31,"58,059,019"
02-Jul-21,93.28,95.27,92.21,94.7,"51,342,975"
06-Jul-21,94.88,95.41,93.32,94.47,"44,930,119"
07-Jul-21,95.02,95.44,90.31,90.54,"51,498,481"
08-Jul-21,87.86,90.34,87.45,89.74,"45,673,454"
09-Jul-21,90.04,91.26,88.53,90.9,"35,278,416"
12-Jul-21,91.22,91.9,89.65,90.81,"28,526,559"
13-Jul-21,90.48,91.41,89.83,90.26,"30,367,595"
14-Jul-21,90.76,91.4,88.94,89.05,"28,108,505"
15-Jul-21,89.78,89.78,86.18,86.93,"38,944,741"
16-Jul-21,87.32,88.03,85.68,85.89,"35,860,740"
19-Jul-21,84.99,87.23,84.24,86.58,"39,244,796"
20-Jul-21,87.09,87.77,85.17,87.11,"28,088,956"
21-Jul-21,87.25,89.49,86.9,89.41,"29,469,864"
22-Jul-21,89.4,91.36,89.08,91.21,"33,730,078"
23-Jul-21,91.35,92.37,90.19,92.15,"31,708,899"
26-Jul-21,92.01,92.75,91.12,91.82,"27,668,459"
27-Jul-21,92.94,94.1,89.1,91.03,"69,427,021"
28-Jul-21,93.44,98.71,89.65,97.93,"140,561,028"
29-Jul-21,96.58,105.74,96.58,102.95,"164,091,761"
30-Jul-21,101.6,106.97,101.38,106.19,"125,632,018"
02-Aug-21,105.93,110.33,103.83,108.63,"115,581,854"
03-Aug-21,108.15,114.85,107.66,112.56,"157,723,142"
04-Aug-21,114.36,122.49,114.16,118.77,"225,368,699"
05-Aug-21,116.63,117.68,111.59,112.35,"137,860,865"
06-Aug-21,110.55,116.26,109.7,110.11,"143,899,026"
09-Aug-21,111.31,112.33,107.06,107.58,"115,749,943"
10-Aug-21,107.9,109.17,104.36,106.48,"113,012,297"
11-Aug-21,107.6,109.79,105.62,107.68,"91,788,289"
12-Aug-21,107.39,108.44,105.86,106.5,"60,625,725"
13-Aug-21,107.17,111.71,106.57,110.55,"100,135,745"
16-Aug-21,110.2,111.58,105.87,107.48,"73,398,938"
