Date,S&P/TSX 60 Index
2011-11-30,695.49
2011-12-01,688.76
2011-12-02,686.44
2011-12-05,688.63
2011-12-06,684.84
2011-12-07,689.7
2011-12-08,678.17
2011-12-09,682.97
2011-12-12,675.55
2011-12-13,668.21
2011-12-14,656.92
2011-12-15,654.07
2011-12-16,660.04
2011-12-19,654.69
2011-12-20,664.17
2011-12-21,666.41
2011-12-22,675.41
2011-12-23,678.15
2011-12-28,666.89
2011-12-29,673.07
2011-12-30,680.87
2012-01-03,695.38
2012-01-04,696.04
2012-01-05,696.59
2012-01-06,693.72
2012-01-09,694.99
2012-01-10,699.59
2012-01-11,699.27
2012-01-12,701.26
2012-01-13,699.25
2012-01-16,699.93
2012-01-17,698.49
2012-01-18,703.72
2012-01-19,707.42
2012-01-20,708.23
2012-01-23,716.37
2012-01-24,708.09
2012-01-25,716.18
2012-01-26,710.77
2012-01-27,711.19
2012-01-30,709
2012-01-31,709.18
2012-02-01,712.57
2012-02-02,714.04
2012-02-03,716.41
2012-02-06,714.94
2012-02-07,712.39
2012-02-08,713.02
2012-02-09,710.66
2012-02-10,703.7
2012-02-13,704.32
2012-02-14,702.33
2012-02-15,702.71
2012-02-16,710.36
2012-02-17,708.37
2012-02-21,717.83
2012-02-22,722.83
2012-02-23,723.65
2012-02-24,723.36
2012-02-27,722.63
2012-02-28,725.21
2012-02-29,718.86
2012-03-01,724.34
2012-03-02,719.06
2012-03-05,712.92
2012-03-06,699.44
2012-03-07,700.75
2012-03-08,707.83
2012-03-09,709.58
2012-03-12,704.64
2012-03-13,711.76
2012-03-14,702.2
2012-03-15,707.66
2012-03-16,710.74
2012-03-19,710.51
2012-03-20,708.37
2012-03-21,708.89
2012-03-22,705.52
2012-03-23,711.19
2012-03-26,717.71
2012-03-27,714.36
2012-03-28,709.67
2012-03-29,704.92
2012-03-30,706.96
2012-04-02,714.73
2012-04-03,703.15
2012-04-04,694.97
2012-04-05,689.95
2012-04-09,685.67
2012-04-10,680.21
2012-04-11,684.93
2012-04-12,695.94
2012-04-13,685.32
2012-04-16,686.83
2012-04-17,693.16
2012-04-18,692.24
2012-04-19,694.13
2012-04-20,692.98
2012-04-23,683.66
2012-04-24,683.63
2012-04-25,690.23
2012-04-26,690.02
2012-04-27,695.93
2012-04-30,699.79
2012-05-01,701.27
2012-05-02,694.76
2012-05-03,681.79
2012-05-04,673.33
2012-05-07,673.34
2012-05-08,664.12
2012-05-09,661.79
2012-05-10,665.21
2012-05-11,663.63
2012-05-14,652.58
2012-05-15,645.06
2012-05-16,645.34
2012-05-17,644.44
2012-05-18,640.57
2012-05-22,651.32
2012-05-23,658.94
2012-05-24,658.62
2012-05-25,658.09
2012-05-28,657.08
2012-05-29,660.41
2012-05-30,650.68
2012-05-31,656.5
2012-06-01,647.18
2012-06-04,645.46
2012-06-05,654.36
2012-06-06,660.41
2012-06-07,659.63
2012-06-08,653.67
2012-06-11,648.45
2012-06-12,654.89
2012-06-13,655.68
2012-06-14,654.54
2012-06-15,658.58
2012-06-18,662.8
2012-06-19,674.67
2012-06-20,672.93
2012-06-21,652.48
2012-06-22,655.24
2012-06-25,650.3
2012-06-26,650.31
2012-06-27,654.15
2012-06-28,655.03
2012-06-29,663.62
2012-07-03,678.76
2012-07-04,682.23
2012-07-05,675.62
2012-07-06,666.45
2012-07-09,665.08
2012-07-10,658.02
2012-07-11,659.68
2012-07-12,652.98
2012-07-13,657.93
2012-07-16,658.17
2012-07-17,661.52
2012-07-18,662.03
2012-07-19,666.43
2012-07-20,663.4
2012-07-23,659.37
2012-07-24,654.91
2012-07-25,655.8
2012-07-26,664.07
2012-07-27,671.75
2012-07-30,670.68
2012-07-31,665.46
2012-08-01,663.08
2012-08-02,656.08
2012-08-03,665.53
2012-08-07,677.43
2012-08-08,671.77
2012-08-09,675.64
2012-08-10,678.67
2012-08-13,675.59
2012-08-14,677.29
2012-08-15,679.83
2012-08-16,687.44
2012-08-17,690.95
2012-08-20,690.31
2012-08-21,691.98
2012-08-22,691.88
2012-08-23,687.41
2012-08-24,689.09
2012-08-27,688.26
2012-08-28,686.3
2012-08-29,687.44
2012-08-30,681.18
2012-08-31,683.47
2012-09-04,682.79
2012-09-05,686.36
2012-09-06,694.5
2012-09-07,702.46
2012-09-10,699.79
2012-09-11,699.8
2012-09-12,700.39
2012-09-13,708.38
2012-09-14,716.07
2012-09-17,713.07
2012-09-18,711.16
2012-09-19,711.22
2012-09-20,709.17
2012-09-21,706.33
2012-09-24,703.3
2012-09-25,700.42
2012-09-26,699.58
2012-09-27,705.3
2012-09-28,702.87
2012-10-01,706.64
2012-10-02,707.8
2012-10-03,705.6
2012-10-04,711.12
2012-10-05,709.1
2012-10-09,700.88
2012-10-10,697.08
2012-10-11,698.5
2012-10-12,696.13
2012-10-15,698.5
2012-10-16,709.47
2012-10-17,712.28
2012-10-18,712.77
2012-10-19,710.53
2012-10-22,710.02
2012-10-23,698.51
2012-10-24,697.59
2012-10-25,704.14
2012-10-26,704.45
2012-10-29,705.66
2012-10-30,710.01
2012-10-31,711.58
2012-11-01,715.31
2012-11-02,708.35
2012-11-05,706.83
2012-11-06,708
2012-11-07,699.33
2012-11-08,696.72
2012-11-09,697.72
2012-11-12,697.91
2012-11-13,694.88
2012-11-14,681.9
2012-11-15,675.76
2012-11-16,679.49
2012-11-19,688.14
2012-11-20,689.62
2012-11-21,693.23
2012-11-22,696.72
2012-11-23,699.72
2012-11-26,699.43
2012-11-27,694.91
2012-11-28,697.03
2012-11-29,701.05
2012-11-30,702.59
2012-12-03,698.14
2012-12-04,696.84
2012-12-05,698.34
2012-12-06,697.3
2012-12-07,697.65
2012-12-10,701.37
2012-12-11,705.04
2012-12-12,708.17
2012-12-13,704.48
2012-12-14,704.46
2012-12-17,703.73
2012-12-18,707.52
2012-12-19,712.14
2012-12-20,711.58
2012-12-21,712.3
2012-12-24,711.05
2012-12-27,711.17
2012-12-28,706.94
2012-12-31,713.72
2013-01-02,718.62
2013-01-03,715.37
2013-01-04,719.27
2013-01-07,715.73
2013-01-08,716.3
2013-01-09,717.33
2013-01-10,722.2
2013-01-11,722.7
2013-01-14,723.12
2013-01-15,725.42
2013-01-16,723.23
2013-01-17,726.61
2013-01-18,730.27
2013-01-21,735.09
2013-01-22,736.78
2013-01-23,734.74
2013-01-24,737.36
2013-01-25,737.35
2013-01-28,738.25
2013-01-29,738.67
2013-01-30,735.13
2013-01-31,727.76
2013-02-01,732.52
2013-02-04,729.99
2013-02-05,731.3
2013-02-06,732.06
2013-02-07,731.32
2013-02-08,734.5
2013-02-11,731.79
2013-02-12,734.3
2013-02-13,733.63
2013-02-14,730.47
2013-02-15,728
2013-02-19,735.9
2013-02-20,731.15
2013-02-21,726.94
2013-02-22,730.15
2013-02-25,726.92
2013-02-26,728.34
2013-02-27,733.54
2013-02-28,738.55
2013-03-01,735.52
2013-03-04,731.75
2013-03-05,733.33
2013-03-06,738.44
2013-03-07,737.39
2013-03-08,737.89
2013-03-11,739.39
2013-03-12,740.67
2013-03-13,732.06
2013-03-14,735.93
2013-03-15,737.01
2013-03-18,733.63
2013-03-19,733.64
2013-03-20,737.56
2013-03-21,731.56
2013-03-22,732.79
2013-03-25,727.95
2013-03-26,729.85
2013-03-27,728.03
2013-03-28,731.34
2013-04-01,728.67
2013-04-02,728.96
2013-04-03,713.1
2013-04-04,708.66
2013-04-05,705.71
2013-04-08,706.38
2013-04-09,714.37
2013-04-10,718.01
2013-04-11,714.16
2013-04-12,706.02
2013-04-15,687.97
2013-04-16,694.72
2013-04-17,685.83
2013-04-18,687.76
2013-04-19,691.79
2013-04-22,692.69
2013-04-23,692
2013-04-24,702.13
2013-04-25,703.89
2013-04-26,697.28
2013-04-29,703.6
2013-04-30,710.71
2013-05-01,702.83
2013-05-02,706.78
2013-05-03,710.31
2013-05-06,711.74
2013-05-07,713.71
2013-05-08,721.33
2013-05-09,718.15
2013-05-10,721.05
2013-05-13,717.43
2013-05-14,721.19
2013-05-15,714.94
2013-05-16,716.41
2013-05-17,723.59
2013-05-21,731.31
2013-05-22,732.51
2013-05-23,726.23
2013-05-24,727.28
2013-05-27,728.16
2013-05-28,732.77
2013-05-29,732.55
2013-05-30,732.59
2013-05-31,726.27
2013-06-03,722.1
2013-06-04,721.71
2013-06-05,712.18
2013-06-06,709.61
2013-06-07,707.52
2013-06-10,708.83
2013-06-11,699.82
2013-06-12,694
2013-06-13,704.11
2013-06-14,697.73
2013-06-17,703.59
2013-06-18,709.33
2013-06-19,703.52
2013-06-20,686.88
2013-06-21,689.38
