Date,Open,High,Low,Close,Volume
04-Dec-18,23.35,23.42,21.07,21.12,"127,392,924"
06-Dec-18,20.22,21.41,20.06,21.3,"103,434,674"
07-Dec-18,21.3,21.38,19.17,19.46,"105,764,534"
10-Dec-18,19.35,20.13,19.27,19.99,"77,984,520"
11-Dec-18,20.71,21.14,19.69,19.98,"88,027,392"
12-Dec-18,20.32,21.02,19.71,20.48,"100,340,657"
13-Dec-18,20.63,20.87,19.76,19.86,"88,108,070"
14-Dec-18,19.58,20.7,19.52,19.9,"84,713,551"
17-Dec-18,20.01,20.02,18.64,18.83,"115,437,927"
18-Dec-18,19.15,19.84,18.88,19.5,"101,512,938"
19-Dec-18,19.44,19.72,18,18.16,"120,644,490"
20-Dec-18,18.11,18.86,17.34,17.94,"119,394,487"
21-Dec-18,18.12,18.34,16.76,16.93,"132,245,996"
24-Dec-18,16.52,17.22,16.37,16.65,"62,933,126"
26-Dec-18,16.88,17.91,16.03,17.9,"108,811,809"
27-Dec-18,17.43,17.74,16.44,17.49,"111,373,008"
28-Dec-18,17.53,18.31,17.14,17.82,"109,214,352"
31-Dec-18,18.15,18.51,17.85,18.46,"84,732,181"
02-Jan-19,18.01,19,17.98,18.83,"87,148,693"
03-Jan-19,18.42,18.68,16.94,17.05,"117,277,563"
04-Jan-19,17.55,19.07,17.43,19,"111,878,582"
07-Jan-19,19.44,20.68,19,20.57,"107,157,014"
08-Jan-19,21.19,21.2,19.68,20.75,"121,270,986"
09-Jan-19,20.89,21.44,20.07,20.19,"163,944,073"
10-Jan-19,19.76,19.83,18.9,19.74,"115,629,372"
11-Jan-19,19.47,20.35,19.19,20.27,"85,110,766"
14-Jan-19,19.96,20.62,19.75,20.23,"71,350,248"
15-Jan-19,20.44,20.68,20.26,20.38,"62,785,800"
16-Jan-19,20.4,20.54,19.71,19.73,"70,849,266"
17-Jan-19,19.49,20.51,19.02,20.25,"85,018,421"
18-Jan-19,20.37,21.05,20.02,20.77,"88,130,950"
22-Jan-19,20.48,20.92,19.7,19.76,"78,513,667"
23-Jan-19,20.03,20.48,19.55,19.8,"77,811,255"
24-Jan-19,20.06,21.01,20.04,20.85,"97,433,423"
25-Jan-19,20.99,22.03,20.79,21.93,"110,555,157"
28-Jan-19,20.32,21.01,20.02,20.18,"135,164,064"
29-Jan-19,20.26,20.39,19.05,19.25,"131,202,535"
30-Jan-19,21.49,23.13,21.37,23.09,"211,421,150"
31-Jan-19,23.02,25.14,22.83,24.41,"182,575,629"
01-Feb-19,24.61,24.84,24.07,24.51,"105,356,175"
04-Feb-19,24.43,24.66,24.07,24.13,"70,843,958"
05-Feb-19,23.42,23.86,22.98,23.31,"122,226,034"
06-Feb-19,23.63,24.14,23.22,23.26,"78,684,325"
07-Feb-19,22.99,23.22,22.32,22.67,"86,723,886"
08-Feb-19,22.33,23.28,22.27,23.05,"78,129,280"
11-Feb-19,23.05,23.28,22.66,22.96,"60,578,705"
12-Feb-19,23.43,23.56,22.75,22.82,"67,595,405"
13-Feb-19,22.98,23.24,22.71,22.85,"57,544,167"
14-Feb-19,22.74,23.37,22.59,23.13,"64,441,243"
15-Feb-19,23.58,24.05,23.2,23.68,"78,644,109"
19-Feb-19,23.63,24.41,23.61,23.95,"57,517,907"
20-Feb-19,24.14,24.37,23.9,23.95,"57,091,617"
21-Feb-19,24.04,24.33,23.85,23.92,"49,608,176"
22-Feb-19,24.05,24.36,23.88,24.36,"52,650,728"
25-Feb-19,25.01,25.52,24.68,24.71,"63,221,028"
26-Feb-19,24.65,24.72,24.15,24.21,"48,470,089"
27-Feb-19,24.11,24.23,23.21,23.48,"62,649,329"
28-Feb-19,23.21,23.67,23.11,23.53,"39,384,901"
01-Mar-19,23.97,24.19,23.45,23.68,"48,083,975"
04-Mar-19,23.89,24.13,23.01,23.37,"48,147,714"
05-Mar-19,23.34,23.68,23.01,23.5,"35,462,587"
06-Mar-19,23.47,23.53,22.4,22.41,"60,479,430"
07-Mar-19,22.33,22.41,21.73,22.08,"52,186,289"
