Date,Open,High,Low,Close,Volume
04-Dec-18,42.06,42.11,39.13,39.28,"20,302,787"
06-Dec-18,37.86,39.62,37.7,39.57,"17,307,741"
07-Dec-18,39.62,39.72,36.4,36.9,"17,041,949"
10-Dec-18,36.45,38.21,36.41,37.97,"15,736,835"
11-Dec-18,38.89,38.97,36.25,37.05,"16,797,832"
12-Dec-18,37.1,38.2,36.21,37.23,"16,353,398"
13-Dec-18,37.7,38.35,36.86,37.22,"11,784,624"
14-Dec-18,36.8,37.65,36.38,36.61,"11,795,531"
17-Dec-18,36.31,37.04,35.31,35.9,"16,571,683"
18-Dec-18,36.34,37.58,36.06,36.74,"14,109,251"
19-Dec-18,36.4,36.94,34.11,34.63,"18,634,147"
20-Dec-18,34.54,35.45,33.17,33.78,"18,739,697"
21-Dec-18,34.04,34.38,32.12,32.39,"21,593,525"
24-Dec-18,31.62,32.49,31.13,31.77,"11,595,978"
26-Dec-18,32.24,33.28,31.12,33.28,"17,377,484"
27-Dec-18,32.75,33.1,31.3,32.79,"15,926,080"
28-Dec-18,33,34.35,32.58,33.41,"15,712,319"
31-Dec-18,33.85,34.18,33.07,33.38,"11,628,503"
02-Jan-19,32.66,34.62,32.51,34.06,"12,718,840"
03-Jan-19,33.45,33.79,31.92,32,"17,638,786"
04-Jan-19,32.74,34.43,32.42,34.05,"14,640,483"
07-Jan-19,34.63,36.22,34.11,35.85,"17,728,980"
08-Jan-19,36.67,36.7,34.23,34.96,"19,650,429"
09-Jan-19,35.48,36.12,34.97,35.65,"15,431,475"
10-Jan-19,35.45,36.4,34.84,36.31,"13,078,906"
11-Jan-19,36.08,37.44,35.8,37.21,"21,869,066"
14-Jan-19,36.68,37.87,36.44,37.61,"18,254,249"
15-Jan-19,37.94,38.34,37.28,37.47,"15,425,251"
16-Jan-19,37.74,38.08,37.15,37.21,"11,752,592"
17-Jan-19,36.88,38.33,36.6,37.93,"12,335,905"
18-Jan-19,38.43,39.49,37.91,39.23,"16,283,423"
22-Jan-19,38.93,39.05,36.89,37.19,"16,538,776"
23-Jan-19,37.75,38.65,37.01,37.32,"14,775,545"
24-Jan-19,38.17,39.64,38.13,39.46,"17,724,261"
25-Jan-19,38.86,40.22,37.83,40.04,"28,880,547"
28-Jan-19,34.14,35.41,32.75,34.5,"62,788,169"
29-Jan-19,34.04,34.53,32.75,32.9,"28,848,347"
30-Jan-19,33.67,34.49,32.87,34.35,"24,355,739"
31-Jan-19,34.32,36.3,34.1,35.94,"21,071,338"
01-Feb-19,36.13,36.7,35.65,36.18,"15,626,175"
04-Feb-19,36.34,37.67,36.12,37.3,"13,215,018"
05-Feb-19,37.42,37.86,37.08,37.49,"13,560,625"
06-Feb-19,37.82,38.9,37.77,38.25,"17,561,647"
07-Feb-19,37.78,37.81,36.42,36.85,"15,928,000"
08-Feb-19,36.18,37.15,36.03,37.04,"11,540,137"
11-Feb-19,36.6,37.15,36.13,36.61,"12,379,515"
12-Feb-19,37,37.95,36.85,37.79,"14,776,513"
13-Feb-19,38.09,38.96,37.95,38.22,"15,134,302"
14-Feb-19,38.21,38.92,37.78,38.63,"20,681,574"
15-Feb-19,40.74,40.97,39.1,39.34,"37,918,734"
19-Feb-19,39.23,39.97,39.03,39.16,"13,797,316"
20-Feb-19,39.46,40.32,39.34,39.64,"13,524,737"
21-Feb-19,39.77,40.01,38.8,38.94,"11,213,668"
22-Feb-19,39.47,39.99,39.33,39.8,"10,043,531"
